NOME_VIA;NOME_NORM;DIST
Via dei Mille;Viale dei Mille;2
Viale Lancieri di Novara;Via Lancieri di Novara;2
Strada Comunale Corti;Strada comunale delle Corti;7
Strada Antiga;Via Antiga;5
Via Santa Bona Vecchia;Strada Santa Bona Vecchia;5
Via Grimaldi Prati;Via Margherita Grimaldi Prati;10
Via Alessandro Ninni;Via Alessandro Pericle Ninni;8
Galleria della strada romana;Galleria della Strada Romana;2
Via Generale Pennella;Via generale Giuseppe Pennella;10
Via Gradenigo;Via Giuseppe Gradenigo;9
Via Gandino;Via Marcantonio Gandino;12
Via Alceste Torcelli;Via Alceste Torselli;1
Via Feruglio;Via Manlio Feruglio;7
Via Tandura;Via Alessandro e Luigino Tandura;21
Via 7 Aprile 1944;Via Sette Aprile;10
Viale dei Cacciatori;Viale Cacciatori;4
Vicolo Paludetti;Vicolo Paludetti C;2
Via Santa Bona Nuova;Strada Santa Bona Nuova;5
Strada delle Belle Gambe;Via delle Belle Gambe;5
Vicolo Portico Oscuro;Via Portico Oscuro;4
Vicolo Montello;Vicolo Montello B;2
Via G. Liberali;Via monsignor Giuseppe Liberali;17
Strada della Polveriera;Via Polveriera;11
Via G. Vasari;Via Giorgio Vasari;6
Strada San Zeno;Via San Zeno;5
Via Alzaia sul Sile;Via Alzaia;9
Vicolo Monte Piana;Vicolo Monte Piana C;2
Via G. Zompini;Via Gaetano Zompini;6
Via girolamo Li Causi;Via Girolamo Li Causi;1
Strada di Mure;Via Mure;8
Borgo Mazzini;Borgo Giuseppe Mazzini;9
Vicolo Generale Antonio Cantore;Vicolo generale Antonio Cantore;1
Via Domenico Federici;Via Domenico Maria Federici;6
Vicolo Rovero;Vicolo di Rovero;3
Via Amendola;Via Giovanni Amendola;8
Via Giacomo Camillo De Carlo;Via Giacomo Camillo de Carlo;1
Strada Cartieretta;Via Cartieretta;5
Via Rosa Bortolani;Via Rosa Bortolan;1
Via G.Negri;Via Guido Negri;5
Via Antoniutti;Via Carlo Antoniutti;6
Via Monsignor Angelo Marchesan;Via Angelo Marchesan;10
Via Niccolò de Rossi;Via Nicolò de Rossi;1
Via Bonifacio;Via Giovanni Bonifacio;8
Via Fornaci Guerra Gregory;Via Fornaci Guerra e Gregorj;3
Via Ca' Sugana;Via Luigi Sugana;5
Via la Bassa;Strada la Bassa;5
Via Foiana;Strada Foiana;5
Via Giovanni Battista Tiepolo;Via Giambattista Tiepolo;7
