NOME_VIA;NOME_NORM
VICOLO GENERALE ANTONIO CANTORE;Vicolo generale Antonio Cantore
VIA SAN CAMILLO DE LELLIS;Via San Camillo de Lellis
VIA CARLO AGNOLETTI;Via Carlo Agnoletti
VICOLO B FONTANE;Vicolo Fontane B
VIA ERNESTO BELLONI;Via Ernesto Belloni
PIAZZA DEL DUOMO;Piazza del Duomo
VIA GIOVANNI AURELIO AUGURELLO;Via Giovanni Aurelio Augurello
VIA DEI LOMBARDI;Via dei Lombardi
VICOLO PALESTRO;Vicolo Palestro
PIAZZA MONTE DI PIETA';Piazza Monte di Pietà
VIA GABRIELE DA TREVISO;Via Gabriele da Treviso
VICOLO LUDOVICO POZZOSERRATO;Vicolo Ludovico Pozzoserrato
VICOLO EUROPA;Vicolo Europa
VICOLO A MONTE PIANA;Vicolo Monte Piana A
VICOLO B MONTE PIANA;Vicolo Monte Piana B
VICOLO C MONTE PIANA;Vicolo Monte Piana C
VIA FIRENZE;Via Firenze
VICOLO D MONTE PIANA;Vicolo D Monte Piana
VIA ISTRIA;Via Istria
VIA ALESSANDRO E LUIGINO TANDURA;Via Alessandro e Luigino Tandura
VICOLO A SAN ZENO;Vicolo San Zeno A
VICOLO ORSOLINE;Vicolo Orsoline
VICOLO TREVISI;Vicolo Trevisi
VIA DOMENICO RICCI;Via Domenico Ricci
VIA MANLIO FERUGLIO;Via Manlio Feruglio
VIA ORESTE BATTISTELLA;Via Oreste Battistella
VIA GIOVANNI MAGGIOTTO;Via Giovanni Maggiotto
VICOLO TOMMASO SALSA;Vicolo Tommaso Salsa
VIA ENRICO FERMI;Via Enrico Fermi
VIA ANTONIO DE FANTIS;Via Antonio de Fantis
VIA LUIGI E LUCIA BERNARDEL;Via Luigi e Lucia Bernardel
VIA GIACOMO ANTONINI;Via Giacomo Antonini
VIA SCIPIO SLATAPER;Via Scipio Slataper
VIA DEL GUAZZO;Via del Guazzo
VIA ANTONIO GENTILIN;Via Antonio Gentilin
VICOLO BRIGATA MARCHE;Vicolo Brigata Marche
VIA FERRARESE;Via Ferrarese
VIA LUSSEMBURGO;Via Lussemburgo
VIA PIETRO DI DANTE;Via Pietro di Dante
VIA LIVIO ZAMBECCARI;Via Livio Zambeccari
VIA IPPOLITO CAFFI;Via Ippolito Caffi
VIA NELSON MANDELA;Via Nelson Mandela
VIA CADUTI DI NASSIRIYA;Via Caduti di Nassiriya
Vicolo Pio La Torre;Vicolo Pio La Torre
Via Cro' Durigon;Via Cro' Durigon
Via Ernesto Calzavara;Via Ernesto Calzavara
Via Ruzzante;Via Ruzzante
Piazzetta don Ferdinando Pasin;Piazzetta don Ferdinando Pasin
Strada Scudetto di San Giuseppe;Strada Scudetto di San Giuseppe
Via San Giuseppe;Via San Giuseppe
Strada Siora Andriana del Vescovo;Strada Siora Andriana del Vescovo
Galleria della strada romana;Galleria della Strada Romana
Via Muri;Via Muri
Ponte de Pria;Ponte de Pria
Varco San Bartolomeo;Varco San Bartolomeo
