DEBUG;NOME_VIA;NOME_NORM;DIST
1;Via Forzetta;Via Oliviero Forzetta;0.816496580928
1;Rivale Castelvecchio;Rivale Castelvecchio;1.0
0;Via Torre D'Orlando;Via Torre d'Orlando;1.0
2a;Vicolo Siora Andriana del Vescovo;Vicolo Siora Andriana del Vescovo;1.0
0;Via San Francesco;Via San Francesco;1.0
0;Via Fra' Giocondo;Via fra' Giocondo;1.0
0;Via Leonardo Loredan;Via Leonardo Loredan;1.0
0;Via Antonio Vivaldi;Via Antonio Vivaldi;1.0
1;Via Muri;Via Muri;1.0
0;Via Ambrogio Rigamonti;Via Ambrogio Rigamonti;1.0
0;Via Filippo Brunelleschi;Via Filippo Brunelleschi;1.0
0;Via Castello d'Amore;Via Castello d'Amore;1.0
2a;Via San Martino Solferino;Via Solferino e San Martino;0.866025403784
1;Via Avogari;Via Avogari;1.0
0;Via del Termine;Via del Termine;1.0
0;Via dei Vegri;Via dei Vegri;1.0
0;Via Luigi Einaudi;Via Luigi Einaudi;1.0
1;Via Boccaccio;Via Giovanni Boccaccio;0.816496580928
0;Via Francesco da Milano;Via Francesco da Milano;1.0
1;Piazza Garibaldi;Piazza Giuseppe Garibaldi;0.816496580928
0;via Pietro Buratti;Via Pietro Buratti;1.0
1;Via Verona;Via Verona;1.0
1;Vicolo Concordia;Vicolo Concordia;1.0
2b;Via Antonia di Alessandro Maurocordato;Via Alessandro Maurocordato Antoniadi;0.955555555556
2b;Vicolo 7 Aprile;Vicolo Sette Aprile;0.0
0;Via Edmondo Matter;Via Edmondo Matter;1.0
1;Vicolo Cavini;Vicolo Cavini;1.0
0;Vicolo Santa Margherita;Vicolo Santa Margherita;1.0
2;Porta Manzoni;Varco San Bartolomeo;
0;Via Antonio Gramsci;Via Antonio Gramsci;1.0
0;Vicolo Bivio Motta;Vicolo Bivio Motta;1.0
1;Via Storta;Via Storta;1.0
1;Vicolo Fagarè;Vicolo Fagarè;1.0
1;Via Steffani;Via Agostino Steffani;0.816496580928
0;Via Monte Santo;Via Monte Santo;1.0
0;Viale Frà Giocondo;Viale fra' Giocondo;1.0
1;Via Pinelli;Via Luigi Pinelli;0.816496580928
0;Via Giuseppe Benzi;Via Giuseppe Benzi;1.0
1;Via Martini;Via Arturo Martini;0.816496580928
0;Via dei Moncini;Via dei Moncini;1.0
0;Via Nicola di Fulvio;Via Nicola di Fulvio;1.0
0;Via Sernaglia della Battaglia;Via Sernaglia della Battaglia;1.0
0;Via San Girolamo Emiliani;Via San Girolamo Emiliani;1.0
1;Via Everardo;Via Everardo;1.0
0;Via Cacciatori del Sile;Via Cacciatori del Sile;1.0
0;Via Antonio Rosmini;Via Antonio Rosmini;1.0
2;Via Canizzano;Strada Canizzano;
2;Strada Spigariola;Via Spigariola;
1;Via Ca' Sugana;Via Luigi Sugana;0.666666666667
1;Via Cittanova;Via Cittanova;1.0
0;Via Scipio Slataper;Via Scipio Slataper;1.0
0;Via Toti dal Monte;Via Toti dal Monte;1.0
1;Via Selvana;Via Selvana;1.0
0;Via delle Caselle;Via delle Caselle;1.0
1;Piazzale Costituzione;Piazzale Costituzione;1.0
0;Via Sant'Anna;Via Sant'Anna;1.0
1;Via Michieli;Via Adriano Augusto Michieli;0.707106781187
1;Ponte delle Università;Ponte delle Università;0.666666666667
0;Via Lorenzo da Ponte;Via Lorenzo da Ponte;1.0
1;Via Pasubio;Via Pasubio;1.0
1;Via Risorgimento;Via Risorgimento;1.0
1;Via Battistel;Via Agostino Battistel;0.816496580928
0;Via Caduti sul Lavoro;Via Caduti sul Lavoro;1.0
0;Viale Giuseppe Verdi;Viale Giuseppe Verdi;1.0
0;Via Tiziano Vecellio;Via Tiziano Vecellio;1.0
0;Via Francesco Erizzo;Via Francesco Erizzo;1.0
0;Vicolo Paolo Veronese;Vicolo Paolo Veronese;1.0
1;Via Rolandello;Via Rolandello;1.0
2b;Via San Vitale;Via San Vitale;0.825
