DEBUG;NOME_VIA;NOME_NORM;DIST
1;Corso Santi Felice e Fortunato;Corso Santi Felice e Fortunato;1.0
0;Strada dei Templari;Strada dei Templari;1.0
0;Stradella San Nicola;Stradella San Nicola;1.0
0;Viale della Serenissima;Viale della Serenissima;1.0
1;Viale Trissino Giangiorgio;Viale Gian Giorgio Trissino;0.57735026919
0;Via Pontedera Giulio;Via Giulio Pontedera;1.0
0;Via Antonio Vivaldi;Via Antonio Vivaldi;1.0
2a;Via D. Chiesa;Via Damiano Chiesa;0.816496580928
2;Pista ciclo-pedonale di via T. Albinoni.;Pista ciclo-pedonale di Via Tomaso Albinoni;
1;Stradella Retrone;Stradella Retrone;1.0
1;Via B. Pajello;Via Bartolomeo Pajello;0.666666666667
0;Viale Massimo D'Azeglio;Viale Massimo d'Azeglio;1.0
2;Via Q. Sella;Viale Quintino Sella;
1;Via Faedo;Via Alessandro Faedo;0.816496580928
1;Via A. Sandri;Via Antonio Sandri;0.666666666667
0;Largo Neri Pozza;Largo Neri Pozza;1.0
0;Via Luigi Einaudi;Via Luigi Einaudi;1.0
0;Via Leoniceno Ognibene;Via Ognibene Leoniceno;1.0
2b;Strada Maddalene;Strada delle Maddalene;0.644444444444
0;Via del Grande Natale;Via Natale del Grande;1.0
0;Viale Arnaldo Fusinato;Viale Arnaldo Fusinato;1.0
0;Piazzetta Santo Stefano;Piazzetta Santo Stefano;1.0
0;Via Silvio de Faveri;Via Silvio De Faveri;1.0
2a;Via Sardegna;Via Sardegna;1.0
1;Via G. Plona;Via Girolamo Plona;0.666666666667
1;Via N. Palli;Via Natale Palli;0.666666666667
1;Corso Palladio;Corso Andrea Palladio;0.816496580928
1;Via Cadibona;Via Cadibona;1.0
1;Via Cansiglio;Via Cansiglio;1.0
0;Strada delle Grancare;Strada delle Grancare;1.0
0;Contra' Ponte Furo;Contra' Ponte Furo;1.0
1;Contrada Porti;Contra' Porti;1.0
0;Via Nino Bixio;Via Nino Bixio;1.0
0;Via del Fabbro;Via del Fabbro;1.0
