INDIRIZZI DELLA TOPONOMASTICA NON UTILIZZATI DURANTE IL PROCESSO DI ASSOCIAZIONE:
Piazzetta Sant'Andrea
Via Santa Maria Antica
Via della Filanda
Corte Dogana
Giardino don Stefano Gorzegno
Strada la Gressina
Piazzale don Marcello Pernigotto
Giardini Ezio Maria Caserta
Vicoletto Cieco Filippini
Parco Hellas Verona Campione d'Italia 12-05-1985
Giardino Fratelli Tremante
Ponte San Pancrazio
Piazza Martiri della Libertà
Via San Crispino
Giardini Vaclav Pelisek
Giardini Berto Zampieri
Giardino Marino Offeddu
Giardini - Cav. Pietro Cobelli
Via Villa Piatti
Via Ercole d'Este
Volto Fontane
Vicoletto Cieco San Giacometto
Giardini Giorgio Totola
Stradella Franche
Giardini Roberto Prearo
Contrada Morago
Giardini Vittorio Ugolini
Vicolo Castello San Felice Intus
Via Ponte Basazenoci
Vicolo Scaletta Santo Stefano
Vicolo Bacola
Largo Divisione Pasubio
Contrada Valle
Giardini Emilio Moretto
Piazza San Fermo
Via Montalto
Piazzale Castel San Pietro
Via Giovanni Beltrame
Parco Postumia
Corticella San Faustino
Contrada Margiuni
Vicoletto Cieco Racchetta
Via Cancello
Via Publio Pomponio Corneliano
Piazza don Pietro Spada
Parco Angelo Tomelleri
Via Dino Buzzati
Via Monte Tomba
Parco Divisione Acqui
Vo' Filippini
Piazza delle Pasque Veronesi
Vicolo San Bernardino
Giardini monsignor Comboni Daniele
Piazzetta Carbonai
Piazza Ruggero Lambranzi
Piazza Giovannino Guareschi
Vicoletto Listone
Via Are Coltri
Via dei Garofani
Via Carlotta Aschieri
Via Moscardo
Via Orti Trezza
Piazza Giuseppe Cimarrusti e Davide Turazza
Vicolo Cieco Bacco
Contrada Magrano
Via Vincenzo Muccioli
Piazzetta Vittorio Tremante
Piazzetta Capretto
Case Ferrovieri Porta Nuova
Piazza Giuseppe Garibaldi
Via Ponte di Veja
Piazzetta Nazareth
Vo' Pastorello
Vicolo Gatto
Via Guido Vivi
Giardini - Albino Luciani
Piazza Frugose
Vicoletto Corticella Vetri
Via degli Alpinisti Veronesi
Contrada la Costa
Piazza Indipendenza
Giardini San Josemaria Escrivá de Balaguer
Via Alberico da Barbiano
Percorso Ciclo Pedonale Gino Bartali
Vo' San Gaetano
Volto Barbaro
Vicoletto Cieco Fontanelle Duomo
Galleria Pellicciai
Giardini Vittorio Emanuele Secondo
Vicoletto Ponte Nuovo
Strada Corte Garofolo
Parco Gio Battista Marani
Piazzetta Serego
Piazza Giovanni 23
Via Antonio Avena
Via delle Primule
Giardino monsignor Ampelio Martinelli
Largo don Giuseppe Chiot
Piazza Enrico Bernardi
Strada T-Est
Via Luciano Ligabò
Via Nazareth
Piazza San Giacomo
Viale Caduti Senza Croce
Vicolo Vento
Via Monte Santa Viola
Bastione San Giorgio
Largo Bruno Castiglioni
Giardini Michelangelo Bolletti
Piazzetta Santi Apostoli
Piazzale Europa
Corte Maddalene
Via delle Rose
Vicolo Frate
Via abate Pietro Caliari
Vicolo Sottocastello
Via Camillo Banzatti
Volto Muro Padri
Vicolo Regina d'Ungheria
Volto Mercato Vecchio
Via Jean Monnet
Via Tarnova
Piazza Gianfranco Sforni
Vicolo Campofiore
Ponte Mariano Rumor
Via delle Sorgenti
Via Ugo Bassi
Vicolo Scala Santa
Corticella Leoni
Vicolo Pastorello
Via Giovanni Scudeler
Piazzetta Castelvecchio
Via San Cristoforo
Giardini Zardini Gaetano
Giardini Sandro Pertini
Vicolo Cieco Borgo Tascherio
Vicolo Dietro Castel San Pietro
Parco della Fratellanza
Via Brioni
Via dei Carpini
Viale del Brennero
Piazzetta Quattordici Novembre
Piazzetta Santo Stefano
Vo' Sole
Piazzale Buccari
Piazzetta don Giacomo Alberione
Via Corte Avanzi
Via Sodelle
Strada dell'Alzaia Tolo da Re
Via Giuseppe Silvestri
Parco San Giuseppe
